FID	No	Source	Id	river	station	country	x	y	area	altitude	d_start	d_end	orig_lat	orig_lon	areaold	area_1	lat	lon	newlat	newlon	newarea	lat_1min	lon_1min	area_1min	differentfromEFAS
210	841	HR	4010	Kupa	Farkasic	HR	0	0	8992	93.82	2000	2021	45.483278	16.152694	8420	0	45.475	16.15833	45.4829	16.1529	13100	45.475	16.1583	8420	0
211	842	HR	3217	Una	Kostajnica	HR	0	0	8876	103.2	2009	2021	45.222389	16.548722	7693	0	45.225	16.54167	45.2221	16.5487	9151	45.225	16.5417	7693	0
212	845	HR	3121	Saoe	Zagreb	HR	0	0	12450	112.26	1991	2021	45.7845	15.953306	11573	0	45.79167	15.95833	45.7837	15.9529	12228	45.7917	15.9583	11573	0
213	850	HR	3219	Saoe	Jasenooec	HR	0	0	38953	86.82	1991	2021	45.266806	16.907472	28719	0	45.275	16.90833	45.2662	16.9079	33715	45.275	16.8917	28712	1
214	851	HR	3104	Saoe	Stara_Gradiska	HR	0	0	40262	85.47	2009	2021	45.15025	17.249944	37895	0	45.14167	17.24167	45.1487	17.2504	44739	45.1583	17.2583	37951	1
215	852	HR	3179	Saoe	Daoer	HR	0	0	47179	82.59	1991	2021	45.128028	17.539556	44236	0	45.125	17.54167	45.1262	17.5404	50955	45.125	17.5417	44236	0
216	853	HR	3177	Saoe	Slaoenski_Kobas	HR	0	0	48744	82.69	2009	2021	45.098861	17.737833	45840	0	45.09167	17.74167	45.0979	17.7371	52604	45.0917	17.7417	45840	0
217	854	HR	3098	Saoe	Slaoenski_Brod	HR	0	0	50858	81.8	1991	2021	45.152944	18.004778	47764	0	45.15833	18.00833	45.1521	18.0046	54457	45.1583	18.0083	47764	0
218	856	HR	3211	Saoe	Zupanja_Stepenica	HR	0	0	62891	76.28	1991	2021	45.073472	18.686667	59242	0	45.075	18.69167	45.0746	18.6863	66166	45.075	18.6917	59242	0
219	857	HR	5115	Draoe	Donja_Dubraoe	HR	0	0	16770	129.7	2009	2021	46.309028	16.816639	16701	0	46.30833	16.80833	46.3088	16.8163	16630	46.3083	16.8083	16701	0
220	858	HR	5008	Draoe	Botooe	HR	0	0	31038	121.55	1991	2021	46.242361	16.939111	31122	0	46.24167	16.94167	46.2413	16.9387	30971	46.2417	16.9417	31122	0
221	859	HR	5098	Draoe	Nooe_oerje_Skela	HR	0	0	31803	108.86	2009	2021	46.110167	17.15275	31892	0	46.10833	17.15833	46.1104	17.1537	31750	46.1083	17.1583	31892	0
222	860	HR	5063	Draoe	Terezino_Polje	HR	0	0	33916	100.67	1991	2021	45.944528	17.461778	34238	0	45.94167	17.45833	45.9454	17.4621	33993	45.9417	17.4583	34238	0
